Replicate,File Name,Molecule List,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Isotope Label Type,Best Retention Time,Acquired Time,Molecule Note,Max Height,Total Area
wakeup_01,6495c_CE_pos_wakeup_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C22:1) 13Z-Docosenoic Acid,C22H42O2,337.311205,[M-H],light,8.01,5/1/2024 8:41,DETECTED. RT confirmed at 7.6,637,2772
wakeup_01,6495c_CE_pos_wakeup_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,7.85,5/1/2024 8:41,DETECTED. RT confirmed at 8.4,728,1505
cleanup_01,6495c_CE_pos_cleanup_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.84,5/2/2024 3:24,DETECTED. RT confirmed at 8.4,308,86
PQC_01,6495c_CE_pos_PQC_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 13:47,DETECTED. RT confirmed at 8.4,17589,66717
PQC_02,6495c_CE_pos_PQC_02.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 14:04,DETECTED. RT confirmed at 8.4,18462,71193
PQC_03,6495c_CE_pos_PQC_03.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 14:21,DETECTED. RT confirmed at 8.4,20095,71957
PQC_04,6495c_CE_pos_PQC_04.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 14:38,DETECTED. RT confirmed at 8.4,18358,70067
PQC_05,6495c_CE_pos_PQC_05.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.42,5/1/2024 16:37,DETECTED. RT confirmed at 8.4,19458,67458
PQC_06,6495c_CE_pos_PQC_06.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.38,5/1/2024 18:36,DETECTED. RT confirmed at 8.4,18187,61878
PQC_07,6495c_CE_pos_PQC_07.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/1/2024 20:35,DETECTED. RT confirmed at 8.4,16852,58883
PQC_08,6495c_CE_pos_PQC_08.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/1/2024 22:35,DETECTED. RT confirmed at 8.4,16395,56477
PQC_09,6495c_CE_pos_PQC_09.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/2/2024 0:34,DETECTED. RT confirmed at 8.4,16570,58072
PQC_10,6495c_CE_pos_PQC_10.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/2/2024 2:33,DETECTED. RT confirmed at 8.4,16143,59124
mb_A_01,6495c_CE_pos_mb_A_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.43,5/1/2024 13:13,DETECTED. RT confirmed at 8.4,481,1215
mb_A_02,6495c_CE_pos_mb_A_02.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.57,5/2/2024 2:50,DETECTED. RT confirmed at 8.4,165,233
mb_B_01,6495c_CE_pos_mb_B_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 13:30,DETECTED. RT confirmed at 8.4,552,1200
mb_B_02,6495c_CE_pos_mb_B_02.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.51,5/2/2024 3:07,DETECTED. RT confirmed at 8.4,366,659
sb_00,6495c_CE_pos_sb_00.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.54,5/1/2024 8:58,DETECTED. RT confirmed at 8.4,425,1999
sb_01,6495c_CE_pos_sb_01.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.56,5/1/2024 10:06,DETECTED. RT confirmed at 8.4,467,378
sb_02,6495c_CE_pos_sb_02.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,9.25,5/1/2024 12:56,DETECTED. RT confirmed at 8.4,0,0
WT_0_A,6495c_CE_pos_WT_0A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/2/2024 1:42,DETECTED. RT confirmed at 8.4,83169,283957
WT_0_B,6495c_CE_pos_WT_0B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 16:20,DETECTED. RT confirmed at 8.4,91266,331971
WT_0_C,6495c_CE_pos_WT_0C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 16:54,DETECTED. RT confirmed at 8.4,124068,449003
WT_10_A,6495c_CE_pos_WT_10A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/1/2024 22:18,DETECTED. RT confirmed at 8.4,23193,80989
WT_10_B,6495c_CE_pos_WT_10B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 16:03,DETECTED. RT confirmed at 8.4,12302,44977
WT_10_C,6495c_CE_pos_WT_10C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 17:45,DETECTED. RT confirmed at 8.4,17321,61811
WT_100_A,6495c_CE_pos_WT_100A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.38,5/1/2024 20:52,DETECTED. RT confirmed at 8.4,24779,82106
WT_100_B,6495c_CE_pos_WT_100B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 15:29,DETECTED. RT confirmed at 8.4,14639,59659
WT_100_C,6495c_CE_pos_WT_100C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/2/2024 0:00,DETECTED. RT confirmed at 8.4,20415,75090
WT_1000_A,6495c_CE_pos_WT_1000A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/1/2024 21:26,DETECTED. RT confirmed at 8.4,22249,77447
WT_1000_B,6495c_CE_pos_WT_1000B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 17:28,DETECTED. RT confirmed at 8.4,19562,72839
WT_1000_C,6495c_CE_pos_WT_1000C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/1/2024 20:18,DETECTED. RT confirmed at 8.4,20791,67826
IN_0_A,6495c_CE_pos_IN_0A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.38,5/1/2024 19:44,DETECTED. RT confirmed at 8.4,44994,157120
IN_0_B,6495c_CE_pos_IN_0B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/2/2024 1:25,DETECTED. RT confirmed at 8.4,49154,172623
IN_0_C,6495c_CE_pos_IN_0C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 18:02,DETECTED. RT confirmed at 8.4,53982,197372
IN_10_A,6495c_CE_pos_IN_10A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/1/2024 23:26,DETECTED. RT confirmed at 8.4,5308,22659
IN_10_B,6495c_CE_pos_IN_10B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 15:12,DETECTED. RT confirmed at 8.4,9490,34797
IN_10_C,6495c_CE_pos_IN_10C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.38,5/1/2024 19:27,DETECTED. RT confirmed at 8.4,8909,31388
IN_100_A,6495c_CE_pos_IN_100A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/2/2024 1:08,DETECTED. RT confirmed at 8.4,6185,21088
IN_100_B,6495c_CE_pos_IN_100B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.37,5/1/2024 19:10,DETECTED. RT confirmed at 8.4,4536,16393
IN_100_C,6495c_CE_pos_IN_100C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/1/2024 20:02,DETECTED. RT confirmed at 8.4,6929,27204
IN_1000_A,6495c_CE_pos_IN_1000A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/2/2024 0:51,DETECTED. RT confirmed at 8.4,5589,18352
IN_1000_B,6495c_CE_pos_IN_1000B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 14:55,DETECTED. RT confirmed at 8.4,6497,25008
IN_1000_C,6495c_CE_pos_IN_1000C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/1/2024 23:09,DETECTED. RT confirmed at 8.4,5487,20068
INR_0_A,6495c_CE_pos_INR_0A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/2/2024 0:17,DETECTED. RT confirmed at 8.4,19589,68351
INR_0_B,6495c_CE_pos_INR_0B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/1/2024 23:43,DETECTED. RT confirmed at 8.4,14607,54953
INR_0_C,6495c_CE_pos_INR_0C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.41,5/1/2024 15:46,DETECTED. RT confirmed at 8.4,27193,94773
INR_10_A,6495c_CE_pos_INR_10A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.36,5/1/2024 22:52,DETECTED. RT confirmed at 8.4,3607,14728
INR_10_B,6495c_CE_pos_INR_10B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/1/2024 22:00,DETECTED. RT confirmed at 8.4,3381,14873
